,words
198,"regents,inner,father,oude,zijds,huiszithuis,amsterdam,people,portrayed,left,right,ferdinand,bol,arnout,van,de,cruijs,anthony,hoevenaer,jan,van,beuningen,casparus,commelin,aarnout,schuyt,inner,father,symon,leeman"
199,"play,bench,candle,lit,interior,groups,masked,elegantly,dressed,gentlemen,ladies,amuse,gambling,games"
200,"portrait,frederik,willem,van,limburg,stirum,great,grandfather,acaj,clifford,wife,bequeathed,miniature,museum,bust,profile,left,sitting,chair,part,portrait,miniatures,collection"
201,"view,city,antwerp,surrounding,farmlands,seen,land,side,east,travellers,carriages,other,carriages,walkers,shepherd,flock,sheep,pass,roads,city,land,farmers,busy,sowing,harvesting,digging,distance,profile,city,strongholds"
202,"portrait,elisabeth,queen,england,bust,turned,slightly,left,open,necked,gown,trimmed,precious,stones,wears,jewelry,pearls,precious,stones,neck,head"
203,"interior,protestant,gothic,church,motifs,oude,kerk,amsterdam,church,interior,church,service,held,crowd,seen,back,left,pastor,preaching,pulpit,pendant,sk,a-4054"
204,"cydippe,apple,acontius,cydippe,kneels,altar,decorated,festoons,garlands,incense,burner"
205,"river,view,france,possibly,pontoise,foreground,barge,small,boats,water,background,hills,trees,mill,left,towers,factories"
206,"toilet,interior,woman,dressed,front,mirror,girl,hangs,pearl,necklace,neck,standing,mirror,left,right,chair,table,jewelry,displayed,background,right,woman,looks,window,doorway,grisaille,putti,chariot"
207,"view,haarlem,northwest,bleachers,foreground,seen,higher,dunes,bleaching,fields,foreground,distance,profile,city,sint,bavo"
208,"portrait,albert,austria,archduke,austria,bust,right,armor,neck,chain,golden,fleece,pendant,sk"
209,"brazilian,landscape,village,igaraçú,left,cosmas,damian,church,monastery,franciscans,foreground,group,natives"
210,"portrait,poet,jacques,perk,bust,oval,photo,a.,greiner,march"
211,"saint,bonaventure,standing,staff,cardinals,hat,open,book,left,hand,lignum,vitae,right,hand,edge,cloak,decorated,images,apostles,pendant,sk,a-3390"
212,"canton,seen,sea,foreground,dutch,ships"
213,"vanmour,probably,painted,portrait,abdullah,efendi,greek,cleric,attached,court,position,seyh,ül,islam,had,leave,uprising,exiled,returned,silence,istanbul,where,died,abdullah,possessed,impressive,collection,legal,religious,documents,played,crucial,role,introduction,printing,ottoman,empire"
214,"portrait,military,officer,half,length,standing,front,rock,wall,right,hand,battle,hammer"
215,"oval,portrait,anna,margaretha,van,petcum,wife,johan,arnold,zoutman,dog,lap"
216,"portrait,philiipe,montmorency,count,horne,admiral,netherlands,member,council,state,hip,piece,armor,standing,right,helmet,plumes,table,right,left,hand,hilt,sword,neck,gold,chain,emblem,order,golden,fleece"
217,"view,city,naples,bay,several,galleys,other,ships,pendant,sk,a-2660"
218,"ruins,old,town,hall,dam,square,amsterdam,fire,july"
219,"oval,portrait,maria,joachimsdr,swartenhont,wife,maerten,rey,half,length,sitting,gloves,right,hand,pendant,sk,a-698"
220,"portrait,isaac,jan,alexander,gogel,minister,finance,sitting,chair,costume,council,state,document,hand,decorated,great,cross,order,reunion,officers,cross,order,officers,cross,legion,honour"
221,"portrait,maria,christina,nijssen,wife,anthonie,van,der,hout,half,length,sitting,armchair,pendant,sk,a-4167"
222,"portrait,mrs,.,wilhelmina,jeanne,sibille,van,alphen,baroness,van,reede,van,oudtshoorn,half,length,sitting,chair,face,back,canvas,sketches,horse,tigers,head"
223,"left,side,panel,triptych,inside,portrait,julien,de,brouckere,kneeling,adoration,landscape,family,coat,arms,outside"
224,"view,hill,rear,palace,driveways,large,garden,pendant,sk,a-4276"
225,"mary,seated,plant,covered,rocks,christ,child,clambering,lap,left,right,angels,hold,cloth,marys,head,canopy"
226,"portrait,constantine,huygens,poet,secretary,prince,frederik,hendrik,prince,willem,ii,first,councilor,accountant,prince,william,iii,bust,oval,facing,part,collection,portraits,dutch,poets"
227,"portrait,willem,george,frederik,prince,orange,nassau,son,prince,william,bust,facing,uniform,part,portrait,miniatures,collection"
228,"group,putti,plays,blind,man,landscape,left,statue,pedestal,seated,woman,background,mountainous,landscape,obelisk"
229,"portrait,abraham,de,visscher,merchant,amsterdam,director,west,india,company,kneepad,standing,right,arm,leaning,platform,top,right,family,coat,arms,pendant,sk"
230,"parisian,quay,rouen,view,water,feature,large,wooden,platform,floats,quay,ships,background,gothic,cathedral,rouen"
231,"portrait,woman,probably,jacobmina,grebber,-1666,half,length,sitting,chair,pair,gloves,right,hand,pendant,sk,a-1615"
232,"landscape,cows,meadow,foreground,few,ducks"
233,"saint,catherine,half,figure,palm,branch,right,hand,left,hand,resting,toothed,wheel,background,windows,view,coastal,landscape"
234,"oval,portrait,maerten,rey,1595/96,wine,buyer,landlord,voetboogdoelen,half,length,right,right,hand,holds,rummer,white,wine,pendant,sk,a-699"
235,"allegory,stadtholdership,prince,frederik,hendrik,female,personification,victoria,palm,branch,hands,stadholder,laurel,wreath,standing,william,ii,watches,servant,holds,reins,horse,sky,flying,angels,crown,laurel,wreaths"
236,"victory,spaniards,gibraltar,fleet,commanded,jacob,van,heemskerck,april,distance,naval,battle,rock,gibraltar,rages,cavalry,division,infantry,division,march,beach,foreground"
237,"girl,playing,piano,seen,back"
238,"industrial,landscape,oil,pipelines,ships,lighthouse,machines,buildings,curaçao,oil,extracted,processed,refineries,shell,subcontractors,such,wescar"
239,"portrait,jean,bernard,amsterdam,collector,painter,bust,sitting,chair,left,high,black,hat,head"
240,"cityscape,stone,bridge,canal,trees,side,woman,walks,stairs,water,pier,bridge,remains,sculpture,standing,figure,right,walking,man,dog,pendant,sk"
241,"portrait,william,iii,prince,orange,stadtholder,king,england,bust,armor,burning,candle"
242,"study,pied,cow,standing,pole,meadow"
243,"portrait,william,iii,prince,orange,king,england,bust,facing,front,royal,regalia,wears,chain,order,garter,neck,part,portrait,miniatures,collection"
244,"turbulent,sea,sailing,ships,foreground,fishing,ship,sign,p5,sail,distance,masted,landing,jetty,right"
245,"mary,child,left,little,john,baptist,saint,catherine,offering,plate,fruit,background,left,joseph,right,lamb,heaven,angels,clouds,flower,wreaths"
246,"portrait,man,presumably,christoffel,van,gangelt,second,husband,lucretia,boudaen,kneepad,standing,right,hand,side,pendant,sk,a-3750"
247,"study,old,woman,reading,seated,chair,left,table,glasses"
248,"portrait,pope,julius,iii,kneepad,sitting,armchair,left,based,portrait,pope,paul,iii,sebastiano,del,piombo,galleria,spada"
249,"view,market,stalls,grand,sablon,grand,sablon,brussels"
250,"portrait,willem,jacobszoon,van,heemskerck,poet,glass,etcher,bust,oval,left,part,collection,portraits,dutch,poets"
251,"spilpenning,scene,third,act,fifth,scene,play,same,name,thomas,asselijn,johannas,pivotal,view,discovered,husband,gerardus,father,augustijn,dressed,polish,jewish,merchants,asselijn,used,text,derogatory,term,smousen,room,frescoed,ceiling,johanna,sits,table,full,curiosities,chinese,porcelain,figurines,rolls,textiles,chair,left,ring,tailed,lemur,right,cat,crawled,cupboard"
252,"evangelist,mark,half,figure,writing,book,right,lion,left,bookcase,pendant,sk,a-1696"
253,"view,olinda,brazil,left,hill,group,people,ruins,church,foreground,tropical,plants,fruits,animals,monkey,sloth,anteater,lizard"
254,"portrait,bonaventura,peeters,painter,bust,oval,left,part,collection,portraits,dutch,poets"
255,"still,life,flowers,fruits,crockery,fountain,putto,dolphin,columns,bottom,left,hares,cauliflower,gourd,grapes,corn,apricots,apples,currants,right,golden,lamp,set,monkey,fruits,kinds,birds,butterflies,other,insects"
256,"staalmeesters,college,samplers,waardijns,amsterdam,cloth,makers,guild,gathered,table,persian,cloth,laid,table,open,sample,book,presented,left,right,jacob,van,loon,volckert,jansz,willem,van,doeyenburg,servant,frans,hendricksz,bel,van,der,mye,c.,jochem,de,neve,right,fireplace,painting,burning,beacon"
257,"portrait,man,half,length,sitting,front,balustrade,background,landscape"
258,"self,portrait,cornelis,troost,bust,painted,oval,frame,left,hand,tucked,waistcoat,curtain,partly,hangs,portrait,front,pedestal,palette,paint,brushes,drawing,blue,paper"
259,"night,fire,village,villagers,empty,house,is,fire"
260,"summer,day,pumping,station,landscape,river,leading,watermill,left,bank,rowing,boat,right,meadows"
261,"portrait,woman,supposedly,theodora,de,visscher,wife,jacob,rijswijk,half,length,oval,left,top,left,family,coat,arms"
262,"young,painter,interior,boy,sitting,chair,studying,drawing,easel,portfolio,drawings,leaning,chair,female,bust,windowsill,room,divider,background"
263,"hilly,landscape,high,road,man,horseback,foreground,grazing,sheep,resting,shepherd,shepherdess,grass"
264,"portrait,ambrogio,spinola,commander,chief,spanish,troops,southern,netherlands,hip,piece,standing,armor,table,helmet,plumes,standing,command,staff,right,hand,left,hand,hilt,sword,chain,neck,emblem,order,golden,fleece"
265,"painting,depicting,girl,flower,basket,ivory,girl,dressed,blue,dress,bodice,yellow,ribbon,white,apron,white,sleeves,white,headscarf,gray,blond,hair,basket,multicolored,flowers,right,background,cloudy,sky,ground,left,bushes,set,oval,frame,neo,-,classical,style,metal,pearl,ribbed,edging,topped,bow"
266,"crucifixion,christ,cross,mary,left,john,mary,magdalene,right,kneeling,foot,cross,foreground,kneeling,cupbearer,cleric,bishops,staff"
267,"portrait,child,kept,frederica,louisa,wilhelmina,princess,orange,nassau,daughter,prince,willem,full,length,sitting,cushion,flowers,lap,part,portrait,miniatures,collection"
268,"portrait,man,age,bust,right"
269,"portrait,rudolph,van,buynou,drost,van,stavoren,grietman,van,gaasterland,presumably,posthumous,knee,piece,left,hand,hilt,sword,weapons,background,pendant,sk,a-1994"
270,"naval,battle,vigo,bay,october,episode,war,spanish,succession,raid,combined,english,dutch,fleets,foreground,spanish,french,fleet,bay,full,warships,dinghies,cannons,firing,ships,shore"
271,"jan,blanken,dressed,uniform,inspector,general,water,management,carries,insignia,belonging,left,right,order,red,eagle,prussia,order,dutch,lion,order,legion,honour,willemssluizen,amsterdam,probably,depicted,background,willemssluizen,entrance,noord,hollands,kanaal,completed,was,most,famous,works,hydraulic,engineer,blanken,locks,named,client,king,william"
272,"fishing,boats,calm,water,jetty,left,fisherman,rowboat,holds,fish"
273,"rest,flight,egypt,holy,family,found,shelter,farmhouse,maria,sits,floor,chicken,coop,stirs,bowl,background,farmer,fireplace"
274,"battle,boyne,ireland,armies,james,ii,william,iii,july,battle,horsemen,takes,place,center,dead,soldiers,horses,lie,ground"
275,"construction,farm,gelderland,front,farm,girl,milking,cow,foreground,few,sheep"
276,"failed,attack,english,return,fleet,commanded,pieter,bitter,harbor,bergen,norway,august,episode,second,anglo,dutch,war,dutch,warships,anchored,norwegian,harbour,ships,also,sloops"
277,"view,island,banda,neira,establishment,dutch,east,india,company,dutch,ship,sails,coast"
278,"witches,sabbath,fantasy,landscape,antique,buildings,ruins,kinds,monsters,monstrosities,also,devils,witches,fly,air,right,fountain,middle,obelisk,statue,fat,devil,sitting,globe,left,open,structure,company,sits,table,below,monsters,boiling,large,cauldron"
279,"landscape,elevation,where,path,leads,group,large,gnarled,trees,few,figures,road,left,view,valley"
280,"peace,exhorts,churches,tolerance,calvin,seated,interior,roast,calf,pope,bowl,porridge,cats,lap,martin,luther,playing,lute,arguing,table,right,anabaptist,dips,bread,cover,hearth,left,female,personification,peace,olive,branch,hand,paintings,wall,right,dresser,love,caritas,children,back,wall,justice,put,pedestal,justice,rage,expelled"
281,"portrait,boy,sitting,chair"
282,"rebecca,receives,gifts,abrahams,servant,rebecca,sitting,platform,right,curtain,servant,kneels,shows,jewelry,floor,leather,bag,more,jewelry,gifts,left,kneeling,black,boy,dog"
283,"tree,filled,landscape,view,village,travelers,shepherds,go,country,road,right,farm,well"
284,"swedish,landscape,left,watermill,right,foreground,travelers,country,road,distance,buildings,village"
285,"fantasized,cityscape,inspired,kolksluis,amsterdam,several,boats,sailing,water,right,women,washing,water"
286,"stone,niche,still,life,vegetables,green,cabbage,turnips,carrots,shot,mallard,duck,red,cap,monkey,jacket,red,hat,head,sniffs"
287,"silhouette,portrait,woman,bust,left,wearing,headdress,cloth,flowers,part,portrait,miniatures,collection"
288,"portrait,painter,willem,van,de,velde,ii,painter,portrayed,sitting,chair,front,curtain,turned,viewer,holding,drawing,naval,battle,left,hand,right,hand,points,signature,drawing"
289,"portrait,theodoor,netscher,eldest,son,painter,bust,head,left,large,bow,neck"
290,"still,life,flowers,bouquet,hollyhocks,pot,standing,table"
291,"elderly,woman,seated,turned,right,armchair,wears,black,widows,cap,holds,prayer,book,hand,handkerchief,other,wears,white,mill,collar,black,suit,robe,trimmed,fur,red,curtain,draped,left,head,shows,glimpse,blue,sky,right,wall,niche,old,grieving,herme,background,motif,blooming,tulip,niche,confirm,status,subject,widow,tulip,points,transience,widow,bartholomeus,le,witer,died,april,january,married,magdalena,cuyper,continued,husbands,silk,trade,death,portrait,sitters,son,rogier,le,witer,sk,a-4971,wife,catharina,behaghel,sk,a-4972,belong,same,ensemble"
292,"family,portrait,man,woman,sitting,terrace,bowl,fruit,lap,daughter,work,badly,damaged"
293,"allegorical,female,figure,woman,sitting,partly,bare,bosom,stones,tree,bank,stream,strokes,dog,left,right,hand,holds,shell,drink,water,maybe,granida"
294,"portrait,anna,hooghe,fourth,wife,painter,ludolf,bakhuysen,advanced,age,sits,chair,table,looks,book,reading,holds,glasses,right,hand,feet,dog,extinguished,candle,table,portrait,son,johannes,bakhuysen,sk,a-2189,hangs,wall"
295,"orpheus,animals,landscape,edge,forest,orpheus,plays,harp,numerous,animals,elephant,horse,camel,deer,unicorn,lizard,monkey,wolf,wild,boar,hare,goat,cow,lion,bear,moose,donkey,dog"
296,"self,portrait,willem,hendrik,schmidt,standing,brush,hand,front,canvas,painters,stick,left,shoulder"
297,"portrait,maurits,prince,orange,bust,right,pendant,sk,a-2101"
298,"happy,farmer,smiling,man,earthenware,jug,hands"
299,"portrait,theodorus,velius,writer,chronicle,hoorn,bust,oval,left,part,collection,portraits,dutch,poets"
300,"portrait,johanna,van,rijswijk,wife,jan,hendrik,van,rijswijk,standing,half,length,fan,left,hand,pendant,sk,a-637"
301,"portrait,rabbi,sitting,table,open,book,stand,copy,original,rembrandt,glasgow,art,gallery"
302,"landscape,herd,sheep,grazes,trees"
303,"silhouette,portrait,arthur,wellesley,duke,wellington,bust,profile,left,part,portrait,miniatures,collection"
304,"portrait,gerard,ottsz,hinloopen,knee,piece,standing,right,hat,left,hand,right,hand,side,top,right,family,coat,arms"
305,"landscape,edge,forest,sunset,foreground,small,lake,surrounded,stones"
306,"portrait,man,half,way,left,background,landscape,column,part,portrait,miniatures,collection"
307,"fruit,girl,young,woman,sells,apples,basket,left,boy,bites,apple"
308,"lute,player,man,lute,sitting,table,where,oil,lamp,lit"
309,"portrait,willem,george,frederik,prince,orange,nassau,youngest,son,prince,willem,bust,profile,right,portrait,sk,a-4361,henrik,ploetz,christian,hornemann,part,portrait,miniatures,collection"
310,"portrait,woman,bust,slightly,left,top,left,family,coat,arms,pendant,sk,a-326"
311,"italian,landscape,pine,trees,hilly,landscape,river,distance,foreground,right,women,are,busy,laundry,well"
312,"rocky,coast,waterfall,flows,bay,where,travelers,horses,pass,several,large,ships,water,sloop,coming,inland"
313,"chimney,piece,nursery,dolls,house,depicting,biblical,story,pharaohs,daughter,accompanied,ladies,waiting,finds,baby,moses,basket,bank,nile,scene,takes,place,mountainous,environment,buildings,background,left"
314,"portrait,paulus,cornelisz,van,beresteyn,mayor,delft,kneepad,standing,next,table,folded,letter,right,hand,background,family,coat,arms"
315,"woman,albanian,coast,standing,full,length,outstretched,left,hand,holds,bunch,flowers,house,background,right"
316,"warrior,lance,shield,semi,-,naked,cloak,shoulder,seen,back"
317,"portrait,gustaaf,willem,baron,van,imhoff,governor,general,standing,half,length,command,staff,right,hand,left,hand,side,top,left,family,coat,arms,copy,original,jan,maurits,quinkhard,philip,van,dijk,part,series,portraits,governors,general,former,dutch,east,indies"
318,"group,partying,turkish,courtiers,tent,land,amuse,drinking,making,love,foreground,guards,right,musician"
319,"portrait,anne,stuart,queen,england,wife,george,denmark,bust,facing,portrait,kneller,part,collection,portrait,miniatures"
320,"still,life,loot,greek,stela,allegory,autumn,marble,plinth,shotgun,hunting,horn,dead,hare,hunting,attributes,shell,various,plants,flowers,dead,birds,including,pheasants,left,relief,huntress,bottom,bronze,frieze,relief,hunting,putti"
321,"portrait,dr,.,cornelis,hendrik,roy,physician,biographer,seated,half,length,right,hand,glasses,lying,open,book"
322,"old,farmhouse,located,trees,water,woman,standing,lower,door,man,sailing,rowboat,house"
323,"view,harz,mountains,mountain,landscape,women,road,stream,right,shrubs,trees"
324,"portrait,cornelia,teding,van,berkhout,wife,maerten,harpertsz,tromp,kneepad,standing,jewels,chest,left,fountain,shape,peacock,pendant,sk,a-838"
325,"wall,painting,mantelpiece,series,wall,paintings,arcadian,landscapes,room,garden,side,main,floor,herengracht,house,amsterdam"
326,"army,camp,soldiers,horses,front,tent,decorated,banners,wreath,army,camp"
327,"portrait,cornelis,jansz,hartigsvelt,chosen,bust,oval,right,part,series,portraits,directors,rotterdam,chamber,dutch,east,india,company,made,nieuw,oost,indisch,huis,boompjes,rotterdam"
328,"officers,other,gunmen,district,iii,amsterdam,led,captain,allaert,cloeck,lieutenant,lucas,jacobsz,rotgans,other,archers"
329,"moses,full,length,standing,mountain,tablets,law,hand,points,upwards,right,hand,painted,provincial,court,zeeland,middelburg"
330,"portrait,woman,bust,left,part,portrait,miniatures,collection"
331,"portrait,françois,gand,baron,van,rassenghem,bishop,tournai,sitting,chair,table,paper,left,hand,top,right,episcopal,coat,arms"
332,"portrait,cornelis,cornelis,coninck,chosen,bust,oval,right,part,series,portraits,directors,rotterdam,chamber,dutch,east,india,company,made,nieuw,oost,indisch,huis,boompjes,rotterdam"
333,"portrait,year,old,marten,soolmans,standing,full,length,checkered,tile,floor,undefined,space,dressed,precious,black,suit,lace,collar,bows,cuffs,garters,wears,black,hat,shoes,rosettes,holds,glove,left,hand"
334,"arcadian,landscape,figures,kneeling,adoration,statue,man,club,altar,woods,herd,goats,right"
335,"part,part,room,painting,het,hoogerhuis,randenbroek,amersfoort,country,house,jacob,van,campen"
336,"portrait,jacques,specx,born,governor,general,half,way,left,part,series,copies,portraits,governors,general,former,dutch,east,indies,probably,dutch,east,india,company,copy,sk,a-3760"
337,"portrait,woman,presumably,member,van,citters,family,kneepad,sitting"
338,"portrait,woman,half,way,slightly,right,part,portrait,miniatures,collection"
339,"still,life,haddock,grunt,mussels,lying,wooden,table"
340,"explosion,scheldt,antwerp,gunboat,command,jan,van,speijk,february,background,profile,city,antwerp"
341,"portrait,hendrik,van,demmeltraadt,demmelstraadt,half,length,sitting,hand,leaning,walking,stick,velvet,beret,head"
342,"portrait,man,hip,piece,standing,right,hand,chest,left,hand,side,part,portrait,miniatures,collection"
343,"portrait,gerrit,schnetzler,bust,right,facing,viewer"
344,"portrait,young,man,bust,slightly,right,part,portrait,miniatures,collection"
345,"ships,battle,battered,dutch,warships,captured,english,ship,calibrated,harbour,left,brederode,galleon,right,amalia"
346,"performance,titled,fields,roads,old,woman,probably,fishmonger,push,dog,cart,barren,country,road,background,meadows,fields,woman,has,hat,head,basket,left,arm"
347,"portrait,petronella,lange,wife,jonkheer,theodorus,frederik,van,capellen,bust,black,silk,gown,head,turban,like,headgear,pendant,sk,a-4058"
348,"red,leather,box,oval,portrait,miniature,ms,schuster,back,initials,sitter,surrounded,lock,hair,pearls,leather,case"
349,"fishery,grisaille,fishing,putti,right,fountain,putto,left,women,pendant,sk,a-2837"
350,"triptych,scenes,life,mary,central,panel,nativity,mary,annunciation,mary,visitation,nativity,adoration,magi,circumcision,inside,left,side,panel,joachim,flock,rejection,joachims,sacrifice,proclamation,anna,meeting,gate,inside,right,side,panel,mary,joseph,christ,scribes,temple,death,mary,disciples,outer,sides,side,panels,show,scenes,passion,christ,left,flagellation,carrying,cross,betrayal,christ,right,christ,cross,descent,cross,entombment,resurrection"
351,"portrait,diederik,van,bleyswijk,lord,eethen,meeuwen,lord,babiloniënbroek,mayor,gorkum,oval,portrait,half,length,snuff,box,left,hand,country,house,background,pendant,sk,a-3860"
352,"portrait,jan,van,poll,son,harmen,hendrick,busts,stone,plinth,basket,grapes,other,fruits,pendant,sk,a-1267"
353,"kitchen,interior,kitchen,maid,threads,chicken,spit,seated,man,pitcher,watches,table,left,more,poultry,front,table,floor,pile,vegetables,cabbages,cauliflower,melons,cucumbers,gourds,onions,fruit,mans,feet,plate,pieces,meat,bottom,right,fish,copper,kettle,pot,barrel,jug,glass"
354,"head,young,woman,bust,oval,facing,head,flat,hat,neck,pearl,necklace"
355,"view,haarlem"
356,"portrait,petrus,bliek,remonstrant,minister,amsterdam,wife,cornelia,drost,d.,interior,front,large,window,overlooking,canal,left,cornelia,sitting,chair,table,fan,glove,right,hand,book,left,hand,dog,feet,peter,stands,right,table,left,hand,lifts,toga,slightly,wall,sconces,mirror,wall"
357,"family,portrait,family,dirck,bas,jacobsz,mayor,amsterdam,middle,dirck,bas,jacobsz,second,wife,margriet,snoeck,children,presented,standing,full,length,woman,husband,son,dog,top,right,top,left,family,coats,arms,names"
358,"sophonisba,kneels,masinissa,king,numidia,see,also,sk,a-658"
359,"madonna,child,mary,christ,child,front,window,overlooking,city,moat,child,sits,wooden,bench,holds,string,beads,hands,open,book,fruits,lie,windowsill,front,mary"
360,"portrait,surinamese,girl,bust,left,facing,viewer,part,portrait,miniatures,collection"
361,"racehorse,trotter,rot,adriaan,van,der,hoop,coach,house,blanket,back,background,man,carriage,left,bucket"
362,"view,wide,river,landscape,seen,high,riverbank,left,sailing,ships,windmill,distance,castle,trees,perhaps,painting,part,larger,work"
363,"portrait,cornelis,van,der,lijn,governor,general,half,way,right,part,series,portraits,governors,general,former,dutch,east,indies"
364,"portrait,catharina,van,well,wife,guilliaam,van,bleyswijk,standing,half,length,left,right,hand,fan,wears,pearls,neck,wrists,hair,pendant,sk,a-3861"
365,"italian,landscape,group,women,foreground,middle,plan,large,villa,front,pyramid,left,column,relief,work,part,series,paintings,sk,a-4213/4216,house,jacob,de,flines,herengracht,amsterdam"
366,"ladies,sitting,table,look,oval,painting"
367,"self,portrait,rembrandt,young,age,bust,right,face,shadow,curly,hair"
368,"family,scene,interior,family,singing,drinking,table,table,plate,waffle,right,young,man,pipe,window,singing,old,woman,boy,flute,old,man,holds,rummer,wine,mother,put,child,table,foreground,young,woman,jug,left,hand"
369,"brazilian,landscape,natives,road,village,pendant,sk,a-2334"
370,"portrait,machteld,muilman,second,wife,jan,pranger,sitting,full,length,chair,next,table,silver,jug,fruit,right,hand,cup,tea,coffee,right,view,room,paintings,hang,wall,pendant,sk,a-2248"
371,"shepherdess,known,fair,shepherdess,young,woman,shepherdess,bare,breasts,open,dress,flowers,hair,shepherds,staff"
372,"portrait,lucretia,del,prado,wife,jeremias,boudinois,hip,piece,standing,hands,loose,skirt,back,inscription,name,number,pendant,sk"
373,"portrait,william,i,prince,orange,called,willem,silent,knees,standing,hands,wrapped,cloak"
374,"portrait,diederik,van,durven,governor,general,standing,half,length,table,helmet,rests,right,hand,command,staff,top,right,family,coat,arms,part,series,portraits,governors,general,former,dutch,east,indies"
375,"portrait,antoni,warin,alderman,amsterdam,bust,left,anonymous,copy,pastel,van,lynden,collection"
376,"performance,entitled,fair,beauty,head,woman,raised,right,mouth,open"
377,"abraham,kneels,angels,sarah,left,house,based,composition,tiepolo,pendant,sk,a-3435"
378,"gunnery,piece,kloveniersdoelen,corporalship,captain,jacob,gerritsz,hoyngh,lieutenant,nanningh,florisz,cloeck,figures,rows,top,balustrade,down,middle,ensign,other,gunners,halberds"
379,"portrait,young,man,playing,inlaid,virginal,facing,viewer,background,inkstand,books,table"
380,"portrait,isaac,van,rijneveld,jeweler,partner,trading,house,jan,van,rijneveld,zoonen,half,length,standing,right,hand,side,left,hand,tucked,vest,right,background,column,pendant,sk,a-3905"
381,"unidentified,historical,representation,interior,group,distinguished,men,women,gathered,small,table,here,man,hands,piece,clothing,woman,wall,bust,king,william"
382,"glorification,commerce,science,landscape,ruin,city,coast,middle,children,busy,reading,writing,front,are,piles,books,geometric,instruments,floor,left,foxes,lurking,group,monkeys,engaged,alchemy,workspace,left,group,scientists,bend,table,globe,wall,is,bookcase,clock,hangs,column,entrance,foreground,right,monkeys,sit,group,objects,refer,fun,entertainment,musical,instruments,playing,cards,glasses,wine,trick,game,masks,swords,music,book,torso,statue,comedians,dancing,background,audience,gathered,play,staged,village,mercurys,chariot,drawn,roosters,rides,air,kinds,birds,fly,front,including,parrot,cockatoo,monkey,scatters,musical,instruments,dice,masks,cards,carriage"
383,"portrait,suzanna,maria,crommelin,wife,egbert,johannes,koch,half,length,cap,head,chains,neck"
384,"chimney,oak,partly,gilded,consisting,entablatures,placed,other,supported,pilasters,corinthian,capitals,frieze,base,decorated,carvings,front,pocket,bosom,has,painted,mantelpiece,representation,odysseus,nausikaä,carved,frame,carved,work,made,lime,wood"
385,"orchard,fruit,trees,bloom"
386,"ship,high,seas,raging,storm,performance,known,gust,wind,masted,ship,high,wave,left,smaller,ship,pendant,sk,c-244"
387,"portrait,painter,ludolf,bakhuysen,ii,uniform,dragoons,standing,full,length,landscape,left,hand,whip"
388,"portrait,maria,pietersdr,leest,wife,samuel,van,lansbergen,bust,left,pendant,sk"
389,"portrait,woman,bust,left,part,portrait,miniatures,collection"
390,"portrait,maria,daughter,cornelis,samuelsz,van,esch,josina,jansdr,carpentier,half,length,slightly,left,gloves,right,hand,part,series,oval,portraits,cornelis,samuelsz,van,esch,wife,josina,jansdr,de,carpentier,daughters,sons,sk,a-1747,a,g"
391,"portrait,frederika,sophia,wilhelmina,prussia,wife,prince,william,seated,full,length,pendant,sk,a-948"
392,"view,noordermarkt,amsterdam,market,day,many,sellers,customers,market,houses,trees"
393,"portrait,willem,fransz,overrijn,van,schoterbosch,born,half,length,standing,gloves,right,hand,left,hand,hilt,sword,top,left,family,coat,arms,perhaps,copy,cornelis,engelsz,unknown,original,ca,belongs,group,portraits"
394,"study,head,old,fisherwoman,left,wearing,white,cap"
395,"portrait,young,man,fur,hat,bust"
396,"seated,farmer,pitcher,pipe"
397,"portrait,ernst,casimir,count,nassau,dietz,stadtholder,friesland,groningen,drenthe,standing,full,length,command,staff,right,hand,left,table,plumed,helmet"
398,"tchoadar,ambassadors,servant,full,length,standing,front,stone,wall"
399,"crucifixion,jesus,mary,right,saint,john,left,front,blue,background,gold,stars"
400,"adoration,shepherds,mary,kneels,rush,coffin,holds,christ,child,arms,right,joseph,shepherd,left,donkey,ox,stable,view,rocky,landscape,village,castle"
401,"portrait,jacoba,bicker,wife,pieter,graeff,knee,piece,standing,next,column,family,coat,arms,base,column,pendant,sk,a-3977"
402,"view,singel,amsterdam,direction,munt,munttoren,several,barges,lie,quays,canal,right,man,cart"
403,"pupils,appeared,front,building,het,zeerecht,slijpstenen,amsterdam,pupils,boys,military,service,lined,rectangle,led,officers,horseback,masts,sailing,ship,visible,background"
404,"decorative,painting,plants,animals,stylized,oak,tree,panther,base,tree,branches,parrot,pigeons,other,smaller,birds,part,series,paintings,sk,a-3916/3919"
405,"background,walled,city,ankara,angora,middle,plan,landscape,men,horseback,left,accompanied,hunting,dogs,right,hunter,horse,caravan,camel,caravan,crossing,bridge,different,stages,wool,production,shown,foreground,far,right,angora,goats,sheared,then,right,left,see,weaving,wool,drapery,washing,boiling,wool,weighing,wool,weighing,again,possibly,inspection,wool,spinning,sale,wool,busy,marketplace"
406,"italian,landscape,hunters,gathering,bottom,large,stone,staircase,country,house,right,horsemen,left,men,hunting,dogs"
407,"denial,peter,foreground,soldiers,playing,cards,candlelight"
408,"girl,dressed,kimono,lying,back,couch,probably,geesje,kwak,model"
409,"old,man,study,sitting,table,paper,hand,head,leaning,right,hand,table,more,papers,ink,set,books,foreground,bookcase,wall"
